epoch,lr,train_loss,train_top1,train_top3,train_top5,train_macro_f1,val_loss,val_top1,val_top3,val_top5,val_macro_f1,elapsed_sec
1,0.001,6.430292728236083,0.058614810957891735,0.10990224566236122,0.14144565564270958,0.061054039328584137,0.0,0.0,0.0,0.0,nan,175.33301615715027
2,0.001,4.02779377251851,0.3533013084300519,0.5005626753111511,0.5616633354048742,0.35011345569904007,0.0,0.0,0.0,0.0,nan,136.52975702285767
3,0.001,3.1587312118410074,0.5257151015335002,0.6654181433394359,0.7149251725817559,0.5223025400028172,0.0,0.0,0.0,0.0,nan,125.74541735649109
4,0.001,2.683309358774956,0.6222517090212809,0.7530401263080101,0.7960134034298,0.6185913458240575,0.0,0.0,0.0,0.0,nan,126.2645971775055
5,0.001,2.3763545209977006,0.6848766313384954,0.8069183868854661,0.8438114113912357,0.6814889004069948,0.0,0.0,0.0,0.0,nan,120.64853429794312
6,0.001,2.135305318237002,0.7375497589734115,0.8472798427868384,0.8794195206342275,0.7346160207435894,0.0,0.0,0.0,0.0,nan,123.37760710716248
7,0.0005,1.9631119919173239,0.7779658027781043,0.8763500008398138,0.9043787896602113,0.7754173721082291,0.0,0.0,0.0,0.0,nan,123.09231853485107
8,0.0005,1.7359923293625505,0.8371474881166333,0.9142088113274098,0.9359725884743941,0.8349906792252393,0.0,0.0,0.0,0.0,nan,123.70242738723755
9,0.0005,1.6595889815160985,0.8563582310160068,0.926486890505064,0.946432470564523,0.854509203690242,0.0,0.0,0.0,0.0,nan,122.94353342056274
10,0.0005,1.6070667030024937,0.8690772124897123,0.9357500377916254,0.9540453835430068,0.8675772173030668,0.0,0.0,0.0,0.0,nan,123.62675333023071
11,0.0005,1.5629291411384192,0.8800955708215059,0.9433419554226783,0.9599954650049549,0.8787863416944712,0.0,0.0,0.0,0.0,nan,124.13059043884277
12,0.0005,1.5277766316034394,0.888523103280313,0.949304634093085,0.964698422829501,0.8873718735694376,0.0,0.0,0.0,0.0,nan,121.52517580986023
13,0.0005,1.4959772487938288,0.8974083343131162,0.9541965500445101,0.9688429044123822,0.8963459433869065,0.0,0.0,0.0,0.0,nan,122.03205013275146
14,0.00025,1.4668151680005619,0.9050464417085174,0.959063271579018,0.9723071367384988,0.9041337257303327,0.0,0.0,0.0,0.0,nan,119.60249733924866
15,0.00025,1.3939053866693338,0.9252313687286897,0.9695441490165779,0.9802433780674202,0.9245396243049457,0.0,0.0,0.0,0.0,nan,123.02508878707886
16,0.00025,1.3708758570112063,0.9318197087525404,0.9729285990224567,0.9825570653543175,0.9312386227216238,0.0,0.0,0.0,0.0,nan,123.07345676422119
17,0.00025,1.356031781691604,0.9356198666375531,0.9752716797957572,0.9840519340914053,0.9350168029978501,0.0,0.0,0.0,0.0,nan,129.69909071922302
18,0.00025,1.341677214662559,0.939508204981776,0.9776399549859751,0.9858365386230411,0.9390508788273068,0.0,0.0,0.0,0.0,nan,121.92232012748718
